P1 Avg. Speak,P2 Avg. Speak,P1 Avg. Rank,P2 Avg. Rank,P1 W:L,P2 W:L,P3 Avg. Speak,P4 Avg. Speak,P3 Avg. Rank,P4 Avg. Rank,P3 W:L,P4 W:L,Winner G/O
30.33,29.95,1.93,2.0,1.5,1.44,29.56,27.4,2.38,2.85,1.0,0.33,G
30.33,29.95,1.93,2.0,1.5,1.44,28.83,30.79,2.28,1.97,1.42,2.62,G
30.33,29.95,1.93,2.0,1.5,1.44,30.35,30.9,2.03,1.82,1.83,5.25,G
30.0,28.2,1.96,2.6,1.5,1.5,30.33,29.95,1.93,2.0,1.5,1.44,G
30.0,28.2,1.96,2.6,1.5,1.5,30.35,30.9,2.03,1.82,1.83,5.25,O
30.0,28.2,1.96,2.6,1.5,1.5,29.07,28.6,2.37,2.8,1.14,0.67,O
29.07,28.6,2.37,2.8,1.14,0.67,30.13,29.0,1.79,2.4,3.88,1.5,O
29.07,28.6,2.37,2.8,1.14,0.67,28.32,28.17,2.33,2.8,0.9,1.0,O
30.13,29.0,1.79,2.4,3.88,1.5,29.56,27.4,2.38,2.85,1.0,0.33,O
30.13,29.0,1.79,2.4,3.88,1.5,28.83,30.79,2.28,1.97,1.42,2.62,G
30.13,29.0,1.79,2.4,3.88,1.5,28.32,28.17,2.33,2.8,0.9,1.0,O
28.32,28.17,2.33,2.8,0.9,1.0,28.83,30.79,2.28,1.97,1.42,2.62,O
28.32,28.17,2.33,2.8,0.9,1.0,29.56,27.4,2.38,2.85,1.0,0.33,O
31.12,31.47,1.76,1.62,4.0,7.5,30.13,29.0,1.79,2.4,3.88,1.5,G
31.12,31.47,1.76,1.62,4.0,7.5,30.0,28.2,1.96,2.6,1.5,1.5,O
31.12,31.47,1.76,1.62,4.0,7.5,30.73,27.6,2.07,3.2,4.0,1.5,G
31.12,31.47,1.76,1.62,4.0,7.5,30.33,29.95,1.93,2.0,1.5,1.44,G
31.12,31.47,1.76,1.62,4.0,7.5,30.73,27.6,2.07,3.2,4.0,1.5,O
30.73,27.6,2.07,3.2,4.0,1.5,28.32,28.17,2.33,2.8,0.9,1.0,G
30.73,27.6,2.07,3.2,4.0,1.5,30.35,30.9,2.03,1.82,1.83,5.25,G
30.73,27.6,2.07,3.2,4.0,1.5,30.0,28.2,1.96,2.6,1.5,1.5,O
28.83,30.79,2.28,1.97,1.42,2.62,29.07,28.6,2.37,2.8,1.14,0.67,O
29.56,27.4,2.38,2.85,1.0,0.33,28.83,30.79,2.28,1.97,1.42,2.62,O
30.35,30.9,2.03,1.82,1.83,5.25,29.56,27.4,2.38,2.85,1.0,0.33,G
30.35,30.9,2.03,1.82,1.83,5.25,29.07,28.6,2.37,2.8,1.14,0.67,O
29.8,30.8,2.3,2.0,1.5,4.0,30.13,29.5,1.87,2.44,2.0,1.57,G
29.8,30.8,2.3,2.0,1.5,4.0,28.93,27.3,1.93,3.2,0.88,0.67,O
29.8,30.8,2.3,2.0,1.5,4.0,28.98,28.6,2.38,2.0,1.35,1.5,O
29.8,30.8,2.3,2.0,1.5,4.0,27.2,31.0,3.0,1.9,1.5,2.33,O
27.4,27.4,2.8,2.6,0.25,0.25,22.56,23.0,3.56,3.22,0.0,0.0,G
29.47,28.36,2.12,2.84,1.29,0.92,28.98,28.6,2.38,2.0,1.35,1.5,O
29.47,28.36,2.12,2.84,1.29,0.92,26.9,29.0,2.6,2.4,0.43,0.67,G
26.4,28.6,3.6,2.0,0.25,0.25,22.56,23.0,3.56,3.22,0.0,0.0,O
24.62,26.2,3.38,3.0,0.32,0.25,26.43,25.33,2.86,3.67,0.56,0.29,O
27.33,29.07,3.47,2.37,0.36,1.14,26.4,28.53,3.6,2.13,0.67,1.5,O
27.33,29.07,3.47,2.37,0.36,1.14,26.9,29.0,2.6,2.4,0.43,0.67,G
26.43,25.33,2.86,3.67,0.56,0.29,22.56,23.0,3.56,3.22,0.0,0.0,G
29.56,27.4,2.38,2.8,1.0,0.5,24.97,27.8,3.62,2.2,0.33,0.43,G
29.56,27.4,2.38,2.8,1.0,0.5,27.6,29.8,3.4,2.0,0.67,1.5,G
28.3,32.7,3.1,1.2,2.33,4.0,27.33,29.07,3.47,2.37,0.36,1.14,O
28.3,32.7,3.1,1.2,2.33,4.0,24.62,26.2,3.38,3.0,0.32,0.25,G
28.3,32.7,3.1,1.2,2.33,4.0,30.53,30.4,2.11,1.8,1.71,1.5,G
29.41,30.05,1.97,1.75,1.9,1.86,24.97,27.8,3.62,2.2,0.33,0.43,O
